name,born,died,geography,picture,wikipedia_url,non_person
Maxim Gorky,1868,1936,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Maxim_Gorky_LOC_Restored_edit1.jpg/220px-Maxim_Gorky_LOC_Restored_edit1.jpg,https://en.wikipedia.org/wiki/Maxim_Gorky,
Vladimir Lenin,1870,1924,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Bundesarchiv_Bild_183-71043-0003%2C_Wladimir_Iljitsch_Lenin.jpg/220px-Bundesarchiv_Bild_183-71043-0003%2C_Wladimir_Iljitsch_Lenin.jpg,https://en.wikipedia.org/wiki/Vladimir_Lenin,
Fyodor Dostoevsky,1821,1881,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Vasily_Perov_-_%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%D0%A4.%D0%9C.%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_-_Google_Art_Project.jpg/220px-Vasily_Perov_-_%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%D0%A4.%D0%9C.%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_-_Google_Art_Project.jpg,https://en.wikipedia.org/wiki/Fyodor_Dostoevsky,
Ranjit Singh,1780,1839,India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/MaharajaRanjitSIngh_-_L_Massard.gif/220px-MaharajaRanjitSIngh_-_L_Massard.gif,https://en.wikipedia.org/wiki/Ranjit_Singh,
Dayananda Saraswati,1824,1883,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Dayananda_Saraswati.jpg/220px-Dayananda_Saraswati.jpg,https://en.wikipedia.org/wiki/Dayananda_Saraswati,
Ramakrishna,1836,1886,India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Ramakrishna.jpg/220px-Ramakrishna.jpg,https://en.wikipedia.org/wiki/Ramakrishna,
Vasudev Balwant Phadke,1845,1883,India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/VasudevBalwantPhadkebust.jpg/220px-VasudevBalwantPhadkebust.jpg,https://en.wikipedia.org/wiki/Vasudev_Balwant_Phadke,
Bal Gangadhar Tilak,1856,1920,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Bal_G._Tilak.jpg/220px-Bal_G._Tilak.jpg,https://en.wikipedia.org/wiki/Bal_Gangadhar_Tilak,
Bipin Chandra Pal,1858,1932,India,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bipin-Chandra-Pal.jpg,https://en.wikipedia.org/wiki/Bipin_Chandra_Pal,
Lala Lajpat Rai,1865,1928,India,https://upload.wikimedia.org/wikipedia/commons/5/59/Lala_lajpat_Rai.jpg,https://en.wikipedia.org/wiki/Lala_Lajpat_Rai,
Muhammad Ali Jinnah,1876,1948,India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Jinnah1945c.jpg/220px-Jinnah1945c.jpg,https://en.wikipedia.org/wiki/Muhammad_Ali_Jinnah,
Vinayak Damodar Savarkar,1883,1966,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Savarkar3xt.jpg/220px-Savarkar3xt.jpg,https://en.wikipedia.org/wiki/Vinayak_Damodar_Savarkar,
Jawaharlal Nehru,1889,1964,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jnehru.jpg/220px-Jnehru.jpg,https://en.wikipedia.org/wiki/Jawaharlal_Nehru,
B. R. Ambedkar,1891,1956,India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Dr._Bhimrao_Ambedkar.jpg/220px-Dr._Bhimrao_Ambedkar.jpg,https://en.wikipedia.org/wiki/B._R._Ambedkar,
Subhas Chandra Bose,1897,,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Netaji_Subhas_Chandra_Bose.jpg/220px-Netaji_Subhas_Chandra_Bose.jpg,https://en.wikipedia.org/wiki/Subhas_Chandra_Bose,
Ram Mohan Roy,1774,1833,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Raja_Ram_Mohan_Roy.jpg/250px-Raja_Ram_Mohan_Roy.jpg,https://en.wikipedia.org/wiki/Ram_Mohan_Roy,
Dwarkanath Tagore,1794,1846,India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Dwarkanath_Tagore.jpg/200px-Dwarkanath_Tagore.jpg,https://en.wikipedia.org/wiki/Dwarkanath_Tagore,
Debendranath Tagore,1817,1905,India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Debendranath_Tagore.jpg/220px-Debendranath_Tagore.jpg,https://en.wikipedia.org/wiki/Debendranath_Tagore,
Aurobindo Ghose,1872,1950,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Sri_aurobindo.jpg/220px-Sri_aurobindo.jpg,https://en.wikipedia.org/wiki/Sri_Aurobindo,
Jagadish Chandra Bose,1858,1937,India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Jagadish_Chandra_Bose_1926.jpg/330px-Jagadish_Chandra_Bose_1926.jpg,https://en.wikipedia.org/wiki/Jagadish_Chandra_Bose,
Chaitanya Mahaprabhu,1486,1534,India,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Chaitanya-Mahabrabhu-at-Jagannath.jpg/330px-Chaitanya-Mahabrabhu-at-Jagannath.jpg,https://en.wikipedia.org/wiki/Chaitanya_Mahaprabhu,
Bankim Chandra Chatterjee,1838,1894,India,https://upload.wikimedia.org/wikipedia/commons/a/ac/Bankim_chandra_chatterjee.jpg,https://en.wikipedia.org/wiki/Bankim_Chandra_Chatterjee,
Michael Madhusudan Dutt,1824,1873,India,https://upload.wikimedia.org/wikipedia/commons/8/8f/Mudhusudan_Dutta.jpg,https://en.wikipedia.org/wiki/Michael_Madhusudan_Dutt,
Mahendralal Sarkar,1833,1904,India,https://upload.wikimedia.org/wikipedia/en/f/f6/Mahendralal_Sarkar..JPG,https://en.wikipedia.org/wiki/Mahendralal_Sarkar,
Chittaranjan Das,1869,1925,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Portrait_of_Chittaranjan_Das.JPG/330px-Portrait_of_Chittaranjan_Das.JPG,https://en.wikipedia.org/wiki/Chittaranjan_Das,
Girish Chandra Ghosh,1844,1912,India,https://upload.wikimedia.org/wikipedia/en/c/cf/Girish_ghosh.JPG,https://en.wikipedia.org/wiki/Girish_Chandra_Ghosh,
Sivanath Sastri,1847,1919,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Sivanath_Sastri.jpg/450px-Sivanath_Sastri.jpg,https://en.wikipedia.org/wiki/Sivanath_Sastri,
Keshub Chandra Sen,1838,1884,India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Keshab_Chandra_Sen.png/330px-Keshab_Chandra_Sen.png,https://en.wikipedia.org/wiki/Keshub_Chandra_Sen,
Sister Nivedita,1867,1911,India,https://upload.wikimedia.org/wikipedia/commons/0/05/S%C5%93ur_Nivedita.jpg,https://en.wikipedia.org/wiki/Sister_Nivedita,
Michael Faraday,1791,1867,England,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/M_Faraday_Th_Phillips_oil_1842.jpg/330px-M_Faraday_Th_Phillips_oil_1842.jpg,https://en.wikipedia.org/wiki/Michael_Faraday,
Humphry Davy,1778,1829,England,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Sir_Humphry_Davy%2C_Bt_by_Thomas_Phillips.jpg/375px-Sir_Humphry_Davy%2C_Bt_by_Thomas_Phillips.jpg,https://en.wikipedia.org/wiki/Humphry_Davy,
Surya Sen,1894,1934,India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Surya_Sen_before_1934.jpg/330px-Surya_Sen_before_1934.jpg,https://en.wikipedia.org/wiki/Surya_Sen,
Brahmabandhav Upadhyay,1861,1907,India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Brahmabandhab_Upadhyay.jpg/330px-Brahmabandhab_Upadhyay.jpg,https://en.wikipedia.org/wiki/Brahmabandhav_Upadhyay,
Khudiram Bose,1889,1908,India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Khudiram_Bose_1905_cropped.jpg/330px-Khudiram_Bose_1905_cropped.jpg,https://en.wikipedia.org/wiki/Khudiram_Bose,
